CDNS,Cadence Design Systems,Information Technology,Application Software,9/18/2017,Application Software,40720
CDW,CDW,Information Technology,Technology Distributors,9/23/2019,Technology Distributors,22295
CE,Celanese,Materials,Specialty Chemicals,12/24/2018,Specialty Chemicals,15326
CERN,Cerner,Health Care,Health Care Technology,4/30/2010,Health Care Technology,22303
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,8/27/2008,Fertilizers & Agricultural Chemicals,9677
CFG,Citizens Financial Group,Financials,Regional Banks,1/29/2016,Regional Banks,18144
CHD,Church & Dwight,Consumer Staples,Household Products,12/29/2015,Household Products,20037
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,3/2/2007,Air Freight & Logistics,12030
CHTR,Charter Communications,Communication Services,Cable & Satellite,9/8/2016,Cable & Satellite,119817
CI,Cigna,Health Care,Managed Health Care,6/30/1976,Managed Health Care,71259
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,12/18/1997,Property & Casualty Insurance,14612
CL,Colgate-Palmolive,Consumer Staples,Household Products,3/4/1957,Household Products,67021
CLX,The Clorox Company,Consumer Staples,Household Products,3/31/1969,Household Products,23110
CMA,Comerica Inc.,Financials,Diversified Banks,12/1/1995,Diversified Banks,9179
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,11/19/2002,Cable & Satellite,241760
CME,CME Group Inc.,Financials,Financial Exchanges & Data,8/11/2006,Financial Exchanges & Data,67996
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,4/28/2011,Restaurants,41765
CMI,Cummins Inc.,Industrials,Industrial Machinery,3/31/1965,Industrial Machinery,36184
CMS,CMS Energy,Utilities,Multi-Utilities,5/3/1999,Multi-Utilities,15998
CNC,Centene Corporation,Health Care,Managed Health Care,3/30/2016,Managed Health Care,33738
CNP,CenterPoint Energy,Utilities,Multi-Utilities,7/31/1985,Multi-Utilities,11735
COF,Capital One Financial,Financials,Consumer Finance,7/1/1998,Consumer Finance,55175
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,6/23/2008,Oil & Gas Exploration & Production,7297
COO,The Cooper Companies,Health Care,Health Care Supplies,9/23/2016,Health Care Supplies,18991
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,3/4/1957,Oil & Gas Exploration & Production,66173
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,10/1/1993,Hypermarkets & Super Centers,157115
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,3/4/1957,Packaged Foods & Meats,13968
CPRT,Copart Inc,Industrials,Diversified Support Services,7/2/2018,Diversified Support Services,27896
CRM,Salesforce.com,Information Technology,Application Software,9/15/2008,Application Software,228139
CSCO,Cisco Systems,Information Technology,Communications Equipment,12/1/1993,Communications Equipment,196528
CSX,CSX Corp.,Industrials,Railroads,9/30/1967,Railroads,69197
CTAS,Cintas Corporation,Industrials,Diversified Support Services,3/1/2001,Diversified Support Services,36245
CTLT,Catalent,Health Care,Pharmaceuticals,9/21/2020,Pharmaceuticals,20900
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,11/17/2006,IT Consulting & Other Services,40385
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,6/3/2019,Fertilizers & Agricultural Chemicals,33691
CTXS,Citrix Systems,Information Technology,Application Software,12/1/1999,Application Software,16807
CVS,CVS Health,Health Care,Health Care Services,3/4/1957,Health Care Services,92317
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,3/4/1957,Integrated Oil & Gas,181810
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,3/22/2021,Casinos & Gaming,21482
D,Dominion Energy,Utilities,Electric Utilities,,Electric Utilities,58028
DAL,Delta Air Lines Inc.,Industrials,Airlines,9/11/2013,Airlines,28492
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,4/2/2019,Specialty Chemicals,38198
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,3/4/1957,Agricultural & Farm Machinery,99699
DFS,Discover Financial Services,Financials,Consumer Finance,7/2/2007,Consumer Finance,29441
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,12/3/2012,General Merchandise Stores,49056
DGX,Quest Diagnostics,Health Care,Health Care Services,12/12/2002,Health Care Services,16452
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,6/22/2005,Homebuilding,28787
DHR,Danaher Corp.,Health Care,Health Care Equipment,,Health Care Equipment,172253
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,6/30/1976,Movies & Entertainment,338274
DISCA,"Discovery, Inc. (Series A)",Communication Services,Broadcasting,3/1/2010,Broadcasting,20913
DISCK,"Discovery, Inc. (Series C)",Communication Services,Broadcasting,8/7/2014,Broadcasting,20982
DISH,Dish Network,Communication Services,Cable & Satellite,3/13/2017,Cable & Satellite,16965
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,5/18/2016,Specialized REITs,38437
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,12/19/2011,General Merchandise Stores,25317
DOV,Dover Corporation,Industrials,Industrial Machinery,10/31/1985,Industrial Machinery,17474
DOW,Dow Inc.,Materials,Commodity Chemicals,4/1/2019,Commodity Chemicals,43704
